,review
0,"<div class=""BNeawe s3v9rd AP7Wnd""><div><div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">11 hours ago</span><span class=""r0bn4c rQMQod""> · </span>Head of the Sudanese Sovereignty Council, Abdel Fattah Al-Burhan, announced that the Sudanese army had contained what he described as...</div></div></div>"
1,"<div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">11 hours ago</span><span class=""r0bn4c rQMQod""> · </span>Head of the Sudanese Sovereignty Council, Abdel Fattah Al-Burhan, announced that the Sudanese army had contained what he described as...</div>"
2,"<div class=""BNeawe s3v9rd AP7Wnd""><div><div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">1 day ago</span><span class=""r0bn4c rQMQod""> · </span>Head of Sudan's sovereign council Lieutenant General Abdel Fattah al-Burhan declared on Wednesday that the army succeeded in quelling a...</div></div></div>"
3,"<div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">1 day ago</span><span class=""r0bn4c rQMQod""> · </span>Head of Sudan's sovereign council Lieutenant General Abdel Fattah al-Burhan declared on Wednesday that the army succeeded in quelling a...</div>"
4,"<div class=""BNeawe s3v9rd AP7Wnd""><div><div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">22 hours ago</span><span class=""r0bn4c rQMQod""> · </span>KHARTOUM: The chairman of the Sovereignty Council of Sudan Abdel Fattah Al-Burhan said on Wednesday that Tuesday's security operation...</div></div></div>"
5,"<div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">22 hours ago</span><span class=""r0bn4c rQMQod""> · </span>KHARTOUM: The chairman of the Sovereignty Council of Sudan Abdel Fattah Al-Burhan said on Wednesday that Tuesday's security operation...</div>"
6,"<div class=""BNeawe s3v9rd AP7Wnd""><div><div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">6 days ago</span><span class=""r0bn4c rQMQod""> · </span>Addressing non-commissioned officers and police soldiers in Khartoum on Wednesday, Burhan promised to enact laws that reserve full rights...</div></div></div>"
7,"<div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">6 days ago</span><span class=""r0bn4c rQMQod""> · </span>Addressing non-commissioned officers and police soldiers in Khartoum on Wednesday, Burhan promised to enact laws that reserve full rights...</div>"
8,"<div class=""BNeawe s3v9rd AP7Wnd""><div><div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">1 day ago</span><span class=""r0bn4c rQMQod""> · </span>After beginning a bureaucratic career, Burhan Doğançay decided to devote his life to art. Inspired by the walls of New York City, the Turkish...</div></div></div>"
9,"<div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">1 day ago</span><span class=""r0bn4c rQMQod""> · </span>After beginning a bureaucratic career, Burhan Doğançay decided to devote his life to art. Inspired by the walls of New York City, the Turkish...</div>"
10,"<div class=""BNeawe s3v9rd AP7Wnd""><div><div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">2 hours ago</span><span class=""r0bn4c rQMQod""> · </span>Abdel-Fattah Burhan, head of the country's ruling transitional council, announced that “life has returned to normal” after a tense stand-off...</div></div></div>"
11,"<div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">2 hours ago</span><span class=""r0bn4c rQMQod""> · </span>Abdel-Fattah Burhan, head of the country's ruling transitional council, announced that “life has returned to normal” after a tense stand-off...</div>"
12,"<div class=""BNeawe s3v9rd AP7Wnd""><div><div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">1 day ago</span><span class=""r0bn4c rQMQod""> · </span>KHARTOUM, Jan. 15 (Xinhua) -- Chairman of Sudan's Sovereign Council Abdel Fattah al-Burhan said Wednesday that the government forces...</div></div></div>"
13,"<div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">1 day ago</span><span class=""r0bn4c rQMQod""> · </span>KHARTOUM, Jan. 15 (Xinhua) -- Chairman of Sudan's Sovereign Council Abdel Fattah al-Burhan said Wednesday that the government forces...</div>"
14,"<div class=""BNeawe s3v9rd AP7Wnd""><div><div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">16 hours ago</span><span class=""r0bn4c rQMQod""> · </span>On Wednesday afternoon, General Abdel Fattah al-Burhan, chairman of the country's transitional ruling council, announced on state TV that the...</div></div></div>"
15,"<div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">16 hours ago</span><span class=""r0bn4c rQMQod""> · </span>On Wednesday afternoon, General Abdel Fattah al-Burhan, chairman of the country's transitional ruling council, announced on state TV that the...</div>"
16,"<div class=""BNeawe s3v9rd AP7Wnd""><div><div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">3 days ago</span><span class=""r0bn4c rQMQod""> · </span>Hamad is believed to be a close associate of Burhan Wani, the slain 22-year-old militant commander credited with making militancy popular in...</div></div></div>"
17,"<div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">3 days ago</span><span class=""r0bn4c rQMQod""> · </span>Hamad is believed to be a close associate of Burhan Wani, the slain 22-year-old militant commander credited with making militancy popular in...</div>"
18,"<div class=""BNeawe s3v9rd AP7Wnd""><div><div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">1 day ago</span><span class=""r0bn4c rQMQod""> · </span>Abdel-Fattah Burhan, head of the country's ruling transitional council, announced that “life has returned to normal,” following a tense stand-off...</div></div></div>"
19,"<div class=""BNeawe s3v9rd AP7Wnd""><span class=""r0bn4c rQMQod"">1 day ago</span><span class=""r0bn4c rQMQod""> · </span>Abdel-Fattah Burhan, head of the country's ruling transitional council, announced that “life has returned to normal,” following a tense stand-off...</div>"
